Word,Freq_NoWaC,Freq_CDS
0,'ouch',4366.0,7.0
1,'baa baa',18.0,5.0
2,'vroom',,20.0
3,'quack quack',16.0,3.0
4,'grr',78.0,1.0
5,'cock-a-doodle-doo',8.0,2.0
6,'meow',214.0,7.0
7,'moo',8.0,7.0
8,'yum yum',35.0,19.0
9,'oh',5019.0,437.0
10,'choo choo',5.0,3.0
11,'woof woof',10.0,52.0
12,'(earth)worm',,
13,'duck',354716.0,4.0
14,'monkey',1535.0,2.0
15,'bear',9156.0,9.0
16,'animal',78524.0,29.0
17,'squirrel',982.0,7.0
18,'elephant',3344.0,8.0
19,'moose',6162.0,5.0
20,'donkey',1292.0,9.0
21,'fish',73111.0,11.0
22,'fly',5154.0,3.0
23,'frog',2759.0,4.0
24,'bird',40740.0,40.0
25,'goose',1491.0,2.0
26,'pig',7868.0,45.0
27,'rooster',1508.0,1.0
28,'horse',87784.0,39.0
29,'hen',4401.0,5.0
30,'dog',166676.0,35.0
31,'bunny',10421.0,9.0
32,'cat',41391.0,24.0
33,kitten',6890.0,1.0
34,'crocodile',1190.0,15.0
35,'cow',10848.0,10.0
36,'chicken',7512.0,6.0
37,'lamb',3076.0,7.0
38,'teddybear',3542.0,1.0
39,'lion',3977.0,9.0
40,'ant',1742.0,1.0
41,'mouse',12268.0,20.0
42,'mosquito',3365.0,1.0
43,'penguin',1297.0,2.0
44,'pony',4337.0,1.0
45,'reindeer',1317.0,3.0
46,'sheep',10218.0,15.0
47,'zebra',448.0,1.0
48,'giraffe',291.0,3.0
49,'turtle',1353.0,4.0
50,'butterfly',2715.0,3.0
51,'tiger',3190.0,11.0
52,'owl',2374.0,2.0
53,'wolf',14204.0,27.0
54,'puppy',26852.0,2.0
55,'wasp',1086.0,1.0
56,'sled',351.0,3.0
57,'stroller',1828.0,1.0
58,'car',186357.0,96.0
59,'firetruck',740.0,3.0
60,'boat',79071.0,31.0
61,'bus',34459.0,32.0
62,'airplane',55541.0,42.0
63,'helicopter',8329.0,2.0
64,'truck',5854.0,4.0
65,'motorcycle',4282.0,16.0
66,'bicycle',22334.0,18.0
67,'train',24356.0,18.0
68,'tractor',3479.0,24.0
69,'tricycle',104.0,7.0
70,'ball',96368.0,74.0
71,'balloon',2903.0,7.0
72,'pencil',1822.0,5.0
73,'book',252996.0,167.0
74,'blocks',1217.0,21.0
75,'doll',6522.0,36.0
76,'lego',336.0,3.0
77,'fairytale',16232.0,2.0
78,'crayon',119.0,2.0
79,'present',900.0,7.0
80,'chalk',550.0,1.0
81,'toy',11744.0,69.0
82,'glue',3616.0,6.0
83,'pen',6184.0,3.0
84,'plasticine',69.0,1.0
85,'puzzle',1543.0,7.0
86,'game',127043.0,1.0
87,'soap bubbles',248.0,18.0
88,'slice (of bread)',3034.0,2.0
89,'cucumber',1908.0,1.0
90,'orange',2869.0,5.0
91,'banana',4673.0,17.0
92,'buns',,
93,'beans',3285.0,1.0
94,'bread',13129.0,11.0
95,'soda/pop',5503.0,2.0
96,'coke',3232.0,1.0
97,'cornflakes',233.0,1.0
98,'dessert',4248.0,3.0
99,grapes',3611.0,1.0
100,'egg',25973.0,16.0
101,'apple',8413.0,27.0
102,'peas',2466.0,1.0
103,'fish',73111.0,11.0
104,'cereal',686.0,1.0
105,'fruits',22242.0,1.0
106,'candy',4832.0,3.0
107,'porridge',2799.0,8.0
108,'carrot',4599.0,4.0
109,'hamburger',1606.0,1.0
110,'ice cream',180159.0,11.0
111,'strawberry',3565.0,3.0
112,'juice',2818.0,3.0
113,'coffee',27804.0,12.0
114,'cake',13219.0,17.0
115,'cracker',2138.0,17.0
116,'meat',20096.0,3.0
117,'meatballs',987.0,1.0
118,'crispbread',1849.0,1.0
119,'chicken',7510.0,6.0
120,'liver paté',1157.0,1.0
121,'food',124531.0,28.0
122,'lunch packet',2521.0,1.0
123,'milk',17156.0,25.0
124,'melon',697.0,1.0
125,'nuts',5757.0,1.0
126,'Nugatti',209.0,1.0
127,'cheese',8516.0,16.0
128,'pancake',1916.0,2.0
129,'pasta',3675.0,4.0
130,'pizza',9099.0,4.0
131,'sausages',8362.0,4.0
132,'french fries',5.0,1.0
133,'popcorn',224.0,1.0
134,'potatoes',10207.0,1.0
135,'potato chips',1214.0,1.0
136,'rice',6155.0,1.0
137,'toast',108.0,1.0
138,'raisins',2121.0,1.0
139,'fruit juice',6323.0,2.0
140,'salami',432.0,5.0
141,'salt',17282.0,2.0
142,'sauce',4791.0,1.0
143,'chocolate',11297.0,7.0
144,'butter',8481.0,6.0
145,'spaghetti',412.0,1.0
146,'candy',464.0,3.0
147,'soup',5071.0,1.0
148,jam',1627.0,5.0
149,'tea',28772.0,10.0
150,'cod-liver oil',2734.0,1.0
151,'gum',811.0,4.0
152,'waffles',2823.0,1.0
153,'water',128365.0,61.0
154,'yogurt',2455.0,3.0
155,'belt',5983.0,1.0
156,'diaper',2239.0,21.0
157,'pants',13342.0,16.0
158,'(thermal) suit',4804.0,3.0
159,'sweater',5296.0,14.0
160,'zipper',1213.0,1.0
161,'necklace',149.0,1.0
162,'gloves',4341.0,1.0
163,'jacket',7271.0,5.0
164,'sneakers',1657.0,4.0
165,'dress',13038.0,16.0
166,'buttons',19068.0,3.0
167,'cap',4902.0,10.0
168,'pajamas',178.0,1.0
169,'rainwear',546.0,2.0
170,'sandals',1088.0,1.0
171,'shorts',2320.0,1.0
172,'scarf',3567.0,6.0
173,'shirt',6440.0,6.0
174,'shoes',25474.0,23.0
175,'bib',97.0,2.0
176,'pacifier',876.0,6.0
177,'socks',4152.0,7.0
178,'boots',3174.0,2.0
179,'tights',880.0,3.0
180,'sock',1423.0,1.0
181,'t-shirt',4612.0,1.0
182,'slippers',1076.0,16.0
183,'underpants',922.0,1.0
184,'mittens',1479.0,2.0
185,'ankle',3147.0,1.0
186,'face',35337.0,4.0
187,'arm',28497.0,9.0
188,'leg',31238.0,45.0
189,'finger',35457.0,5.0
190,'foot',34233.0,3.0
191,'chin',1533.0,7.0
192,'hand',105619.0,58.0
193,'hair',35568.0,33.0
194,'head',84749.0,45.0
